500 34.878
1000 33.244
1500 34.008
2000 33.85
2500 34.666
3000 16.572
3500 16.594
4000 16.51
4500 16.936
5000 16.502
5500 14.144
6000 13.762
6500 13.808
7000 13.868
7500 13.636
8000 16.778
8500 16.588
9000 16.564
9500 16.596
10000 16.722
10500 16.582
11000 16.394
11500 16.53
12000 16.508
12500 16.862
13000 16.616
13500 16.582
14000 16.412
14500 16.684
15000 16.544
15500 13.928
16000 13.718
16500 13.84
17000 13.682
17500 13.596
18000 16.406
18500 16.7
19000 16.904
19500 16.354
20000 16.712
20500 16.342
21000 16.486
21500 16.586
22000 17.026
22500 16.82
23000 16.574
23500 16.676
24000 16.472
24500 16.496
25000 16.424
25500 16.674
26000 16.54
