1810 34.878
3597 33.244
5414 34.008
7199 33.85
9028 34.666
9905 16.572
10790 16.594
11692 16.51
12604 16.936
13496 16.502
14274 14.144
15016 13.762
15775 13.808
16536 13.868
17285 13.636
18170 16.778
19052 16.588
19935 16.564
20836 16.596
21749 16.722
22628 16.582
23509 16.394
24405 16.53
25306 16.508
26204 16.862
27122 16.616
28013 16.582
28912 16.412
29801 16.684
30699 16.544
31442 13.928
32189 13.718
32940 13.84
33692 13.682
34432 13.596
35314 16.406
36211 16.7
37130 16.904
38023 16.354
38922 16.712
39809 16.342
40702 16.486
41591 16.586
42503 17.026
43413 16.82
44307 16.574
45199 16.676
46084 16.472
46961 16.496
47862 16.424
48768 16.674
49655 16.54
