1.3198 0.782
11.3084 6.932
12.1678 0.84
11.3286 0.236
12.1306 0.906
25.3595 8.592
39.8537 9.218
69.3544 17.328
68.8764 0.22
85.3147 10.022
109.8785 15.05
129.237 12.466
141.0281 7.594
140.7503 0.208
141.1139 0.5
144.9385 2.802
150.3504 3.846
150.5267 0.292
150.5267 0.272
150.8027 0.424
168.5272 11.126
176.2248 5.34
191.8705 10.044
196.3539 2.876
195.9112 0.022
243.8291 20.828
300.4644 23.292
355.6187 22.916
400.59 18.198
412.5926 7.724
425.8741 8.342
436.3146 6.234
451.9327 9.46
455.5698 2.332
466.094 6.494
496.4917 18.026
529.8672 19.53
549.4905 11.706
549.4905 0.474
554.1798 2.86
568.8176 9.512
580.3989 7.686
590.773 6.652
619.7231 14.494
674.9608 23.788
774.9965 41.52
804.3607 13.32
812.3462 5.516
824.9032 7.924
829.6525 3.59
840.3474 6.854
844.1497 2.27
847.3577 2.188
858.7447 7.202
868.9364 6.302
878.2271 5.904
885.5849 4.998
899.7174 9.16
910.1304 6.704
930.4553 12.754
948.7541 9.92
963.8887 8.424
978.7364 8.622
985.3767 3.702
985.486 0.062
